,Brand,Variant ID,Variant,Price,Availability,SKU,Brand + Variant ID
1501,Nillens,49406517084439,green-checks-short-sleeve-shirt,455.0,True,250005399.0,Nillens #49406517084439
1502,Nillens,45492834369815,calligraphy-linen-placemats-set-of-2,450.0,False,250003816.0,Nillens #45492834369815
1503,Nillens,49395018727703,white-beach-short,450.0,True,250005663.0,Nillens #49395018727703
1504,Nillens,49395018760471,white-beach-short,450.0,True,250005664.0,Nillens #49395018760471
1505,Nillens,49395155829015,yellow-flowers-beach-short-copy,450.0,True,250005530.0,Nillens #49395155829015
1506,Nillens,49395155861783,yellow-flowers-beach-short-copy,450.0,False,250005531.0,Nillens #49395155861783
1507,Nillens,51436882133271,berry-napkins-set-of-2,200.0,True,250007864.0,Nillens #51436882133271
1508,Nillens,44053810479383,pistachio-napkins-set-of-2,200.0,False,250003327.0,Nillens #44053810479383
1509,Nillens,46643281101079,yellow-blue-kitchen-towels-set-of-2,100.0,True,250004099.0,Nillens #46643281101079
1510,Nillens,49406503682327,lilac-short-sleeve-shirt,455.0,True,250005394.0,Nillens #49406503682327
1511,Nillens,49406503715095,lilac-short-sleeve-shirt,455.0,True,250005395.0,Nillens #49406503715095
1512,Nillens,49406503747863,lilac-short-sleeve-shirt,455.0,True,250005396.0,Nillens #49406503747863
1513,Nillens,45492830241047,romana-linen-placemats-set-of-2,450.0,True,250004001.0,Nillens #45492830241047
1514,Nillens,51436881576215,meshmesh-napkins-set-of-2,200.0,True,250007464.0,Nillens #51436881576215
1515,Lilly Home,41081319489730,bath-mat,720.0,False,lil-Liv-B1-1-1,Lilly Home #41081319489730
1516,Lilly Home,41081319522498,bath-mat,720.0,False,lil-Liv-B1-1-2,Lilly Home #41081319522498
1517,Lilly Home,41081319555266,bath-mat,720.0,False,lil-Liv-B1-1-3,Lilly Home #41081319555266
1518,Lilly Home,41081319588034,bath-mat,720.0,False,lil-Liv-B1-1-4,Lilly Home #41081319588034
1519,Lilly Home,41147521466562,half-face,620.0,False,lil-NMG-1-2-1-1-2-1-1-1-1-1-1,Lilly Home #41147521466562
1520,Lilly Home,41147521499330,half-face,620.0,False,lil-NMG-1-2-1-1-2-1-1-1-1-1-2,Lilly Home #41147521499330
